,id,host_id,district,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year,month,day
162,611735,1241161,West End,Dovercourt-Wallace Emerson-Junction,43.66271,-79.42506,Private room,89,2,10,2018-08-05,0.11,2,0,2018,8,5
164,620965,897683,Scarborough,Birchcliffe-Cliffside,43.70519,-79.24774,Private room,34,5,22,2019-09-29,0.25,2,175,2019,9,29
166,625877,2268652,East End,Woodbine Corridor,43.67567,-79.3122,Private room,30,30,15,2019-10-20,0.22,3,159,2019,10,20
167,625942,2268652,East End,Woodbine Corridor,43.67638,-79.3102,Private room,36,28,9,2017-10-08,0.12,3,0,2017,10,8
169,629995,1698603,West End,Roncesvalles,43.64372,-79.43283,Shared room,70,1,3,2019-06-01,0.03,2,360,2019,6,1
170,638500,3178928,West End,South Parkdale,43.63912,-79.43946,Entire home/apt,95,4,10,2016-09-26,0.19,1,0,2016,9,26
171,638586,3186285,Downtown Core,Waterfront Communities-The Island,43.64271,-79.39244,Entire home/apt,200,3,61,2019-04-07,0.94,1,364,2019,4,7
172,643389,3217095,West End,South Parkdale,43.63514,-79.42736,Entire home/apt,65,7,3,2017-05-20,0.08,1,0,2017,5,20
173,643916,574360,West End,Junction Area,43.66203,-79.47818,Entire home/apt,121,3,5,2016-04-27,0.08,1,365,2016,4,27
174,654048,3289972,Scarborough,Morningside,43.78505,-79.20887,Entire home/apt,251,4,12,2019-07-21,0.14,1,239,2019,7,21
175,655522,3299954,Downtown Core,Kensington-Chinatown,43.65805,-79.39601,Entire home/apt,85,4,29,2018-08-10,0.33,1,0,2018,8,10
177,666158,3367744,East End,Bay Street Corridor,43.65492,-79.38185,Entire home/apt,140,2,41,2018-06-25,0.54,2,364,2018,6,25
178,666670,377846,East End,East End-Danforth,43.68524,-79.2911,Entire home/apt,57,3,44,2019-10-20,0.56,10,332,2019,10,20
180,674193,3422913,North End,Mount Pleasant West,43.7024,-79.39664,Private room,65,3,92,2019-11-08,1.08,1,290,2019,11,8
181,682099,2034186,Downtown Core,Kensington-Chinatown,43.65047,-79.39239,Private room,93,1,240,2019-10-25,2.72,1,69,2019,10,25
182,683292,3482429,North York,Humbermede,43.74975,-79.54777,Private room,38,1,135,2019-11-01,1.55,3,341,2019,11,1
183,683293,3482429,North York,Humbermede,43.74979,-79.54896,Private room,45,1,57,2019-10-06,0.67,3,355,2019,10,6
184,701230,3587917,York,High Park North,43.65848,-79.45408,Entire home/apt,99,5,15,2018-07-31,0.19,1,0,2018,7,31
