id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12301555,Suite Toronto - Luxury Condo,4232814,Oscar,,Waterfront Communities-The Island,43.64197,-79.3817,Entire home/apt,99,1,426,2019-11-22,9.79,2,288
12307356,1BR Condo in Downtown Toronto,66365163,Adi,,Waterfront Communities-The Island,43.63807,-79.39942,Entire home/apt,115,1,2,2016-05-25,0.05,1,0
12307992,Stunning Victorian Home at DT with a Private Yard,38755248,Zoe,,Annex,43.66679,-79.41636,Private room,87,3,38,2019-09-25,0.93,1,349
12309629,Beautiful home in Roncy,2599250,Ryan,,Roncesvalles,43.64665,-79.44146,Entire home/apt,140,7,2,2017-04-07,0.05,1,0
12318667,Unique Above Garage Loft,13066292,Jose,,Little Portugal,43.64934,-79.43162,Entire home/apt,93,1,252,2019-12-02,5.75,15,330
12324895,Great room+private bath DT Toronto,17221273,Di,,Cabbagetown-South St.James Town,43.66624,-79.37662,Private room,50,1,4,2016-04-26,0.09,1,0
12337986,"Authentic, chic, open concept loft",48095714,Karyn,,Palmerston-Little Italy,43.65721,-79.40885,Entire home/apt,179,1,292,2019-12-01,6.59,1,359
12343435,Condo - Spectacular view of Toronto,66643034,Michael,,Waterfront Communities-The Island,43.64131,-79.38261,Entire home/apt,251,2,166,2019-11-24,3.83,1,53
12344210,Midtown 2 BDR/ Apartment,9130635,Andrew,,Mount Pleasant West,43.70081,-79.38878,Entire home/apt,95,2,0,,,1,0
12355886,Amazing 2 Bedroom,17834182,Dylan,,Waterfront Communities-The Island,43.6426,-79.39129,Entire home/apt,171,2,37,2019-11-10,0.85,3,356
12360813,"Bright, Sunny, Modern 2 bdrm condo",869773,Andrew,,Cabbagetown-South St.James Town,43.66705,-79.37162,Entire home/apt,109,5,1,2016-11-09,0.03,1,0
12363746,Cozy suite- Centre of Downtown T.O!,66786860,Town,,Church-Yonge Corridor,43.66984,-79.38178,Entire home/apt,148,2,2,2016-08-28,0.05,1,0
12366650,Trendy Dundas West/Queen West Apt RENOVATED,35025029,David,,Little Portugal,43.64788,-79.43629,Entire home/apt,70,3,34,2019-10-01,0.79,1,24
12367262,Apartment in Trendy Leslieville!,25537948,David,,Greenwood-Coxwell,43.67442,-79.32857,Entire home/apt,76,6,36,2019-11-24,0.85,1,96
12367878,Luxury condo in the heart of North York,66822400,Angelica,,Willowdale East,43.75739,-79.40501,Entire home/apt,130,1,76,2019-11-17,1.71,1,358
12379483,Beautiful 3-Storey Lofty Townhouse for Rent!,3251808,Gillian,,Dovercourt-Wallace Emerson-Junction,43.66536,-79.44601,Entire home/apt,175,2,6,2016-09-06,0.14,1,0
12380285,Cozy Entire 1 Bedroom Parkdale Apartment.,38542351,Bianca,,South Parkdale,43.63861,-79.43305,Entire home/apt,73,1,91,2019-11-17,7.60,1,26
12382195,Stunning Studio in Leslieville with Free Parking,24593297,Brenda,,Greenwood-Coxwell,43.66538,-79.32479,Entire home/apt,99,2,105,2019-11-24,2.39,2,358
12384157,Trendy Loft - Heart of Entertainment District,66938766,Michael,,Waterfront Communities-The Island,43.64313,-79.40032,Entire home/apt,451,3,11,2018-08-12,0.29,1,0
12394667,Room on Lake Ontario Dowtn Toronto,21314181,Mahinaz,,Niagara,43.63301,-79.39899,Private room,80,2,28,2019-08-05,0.65,1,365
12396450,Modern Apartment & Private Parking,2929685,Alex,,Niagara,43.6353,-79.40386,Entire home/apt,270,1,113,2019-12-02,2.57,1,275
12401113,Conveniently located Apartment,67050878,Jorge,,Oakwood Village,43.69082,-79.44815,Entire home/apt,72,5,83,2019-11-11,1.88,3,0
12406747,Downtown Amazingly Furnished Condo,67092703,Wcm,,Waterfront Communities-The Island,43.64398,-79.39149,Entire home/apt,190,2,43,2018-06-14,0.97,4,352
12409422,Basement suite in upper beaches,12224168,Robert,,East End-Danforth,43.6843,-79.29522,Entire home/apt,58,365,5,2016-08-31,0.11,1,179
12409913,Annex House Located Near Shopping and Restaurants,23954857,Renata,,Annex,43.66668,-79.407,Private room,50,3,0,,,1,0
12410022,"1 Block from TIFF, Blue Jays & Convention Center",19537956,Terence,,Waterfront Communities-The Island,43.64479,-79.39025,Entire home/apt,118,2,106,2019-12-03,3.42,1,58
12413121,Downtown Toronto Victorian off Bloor,17828630,Leonard,,Annex,43.66578,-79.41417,Entire home/apt,129,1,47,2019-08-25,2.47,1,0
12421456,"Sunny, simple room",67185985,Esther,,Palmerston-Little Italy,43.6608,-79.41857,Private room,25,1,1,2016-04-18,0.02,1,0
12422098,Nice bedroom For Rent Near coxwell Subway Station,52477674,Mike,,Woodbine Corridor,43.68391,-79.3165,Private room,40,1,11,2019-11-18,0.26,12,155
12428447,Clean and cozy one bedroom,9487518,,,North Riverdale,43.67106,-79.3445,Entire home/apt,80,2,21,2019-05-02,0.61,1,190
12434522,Beautiful & Bright in Little Italy,19876305,Manuel,,Palmerston-Little Italy,43.6579,-79.4148,Entire home/apt,80,2,0,,,1,0
12446620,Downtown Modern Apartment with Private Patio,12847925,Cristiana,,Waterfront Communities-The Island,43.643,-79.40046,Entire home/apt,99,3,34,2017-07-03,0.78,1,0
12447108,"100% walking score CN Tower, Rogers Center & MTCC!",67340276,Stella,,Waterfront Communities-The Island,43.6439,-79.3904,Entire home/apt,99,1,475,2019-11-30,11.10,1,241
12447422,Downtown Toronto Condo,60931387,Kristin,,Moss Park,43.65384,-79.36807,Entire home/apt,87,1,0,,,1,0
12454490,Luxury Downtown 2 Bedroom Condo,67386890,Chris,,Bay Street Corridor,43.66208,-79.38671,Entire home/apt,118,2,28,2016-08-27,0.64,1,0
12463930,Family home available December 2016,2159683,Jessie,,Blake-Jones,43.68087,-79.3332,Entire home/apt,150,4,1,2016-12-28,0.03,1,0
12465306,private room 1,32563638,Yanfu,,Newtonbrook East,43.78767,-79.41532,Private room,87,5,6,2017-03-25,0.14,1,89
12466246,Cozy room near Chester and Danforth,29469563,Justin,,Playter Estates-Danforth,43.6805,-79.35256,Private room,54,1,0,,,1,0
